Entity,Code,Year,Per capita CO2 emissions
Canada,CAN,1977,17.253592
China,CHN,1977,1.361744
France,FRA,1977,9.056887
Germany,DEU,1977,13.377103
India,IND,1977,0.397444
Italy,ITA,1977,6.354081
Japan,JPN,1977,8.127275
Russia,RUS,1977,14.527966
South Korea,KOR,1977,2.897645
United Kingdom,GBR,1977,10.753009
United States,USA,1977,21.221884
Brazil,BRA,1978,1.528231
Canada,CAN,1978,17.383707
China,CHN,1978,1.496863
France,FRA,1978,9.48544
Germany,DEU,1978,13.733897
India,IND,1978,0.394725
Italy,ITA,1978,6.631198
Japan,JPN,1978,7.780456
Russia,RUS,1978,14.933264
South Korea,KOR,1978,3.065575
United Kingdom,GBR,1978,10.758887
United States,USA,1978,21.680574
Brazil,BRA,1979,1.587702
Canada,CAN,1979,18.27933
China,CHN,1979,1.508026
France,FRA,1979,9.886473
Germany,DEU,1979,14.251793
India,IND,1979,0.405018
Italy,ITA,1979,6.857772
Japan,JPN,1979,8.155193
Russia,RUS,1979,14.960112
South Korea,KOR,1979,3.551461
United Kingdom,GBR,1979,11.467188
United States,USA,1979,21.52751
Brazil,BRA,1980,1.539085
Canada,CAN,1980,18.135612
China,CHN,1980,1.458757
France,FRA,1980,9.398065
Germany,DEU,1980,14.052342
India,IND,1980,0.417887
Italy,ITA,1980,6.857858
Japan,JPN,1980,8.019813
Russia,RUS,1980,15.445527
South Korea,KOR,1980,3.545409
United Kingdom,GBR,1980,10.301482
United States,USA,1980,20.55429
Brazil,BRA,1981,1.379525
Canada,CAN,1981,17.415203
China,CHN,1981,1.422831
France,FRA,1981,8.419091
Germany,DEU,1981,13.423934
India,IND,1981,0.440829
Italy,ITA,1981,6.641901
Japan,JPN,1981,7.806064
Russia,RUS,1981,15.04851
South Korea,KOR,1981,3.620991
United Kingdom,GBR,1981,9.970563
United States,USA,1981,19.558142
Brazil,BRA,1982,1.350135
Canada,CAN,1982,16.632275
China,CHN,1982,1.527769
France,FRA,1982,8.053826
Germany,DEU,1982,13.034505
India,IND,1982,0.444912
Italy,ITA,1982,6.476821
Japan,JPN,1982,7.503112
Russia,RUS,1982,15.227292
South Korea,KOR,1982,3.624333
United Kingdom,GBR,1982,9.748066
United States,USA,1982,18.398486
Brazil,BRA,1983,1.277931
Canada,CAN,1983,16.221431
China,CHN,1983,1.588413
France,FRA,1983,7.754862
Germany,DEU,1983,13.00755
India,IND,1983,0.470541
Italy,ITA,1983,6.313919
Japan,JPN,1983,7.31484
Russia,RUS,1983,15.335597
South Korea,KOR,1983,3.799884
United Kingdom,GBR,1983,9.692873
United States,USA,1983,18.370193
Brazil,BRA,1984,1.266056
Canada,CAN,1984,16.710525
China,CHN,1984,1.703236
France,FRA,1984,7.41092
Germany,DEU,1984,13.30085
India,IND,1984,0.472066
Italy,ITA,1984,6.411931
Japan,JPN,1984,7.73232
Russia,RUS,1984,15.36231
South Korea,KOR,1984,4.071094
United Kingdom,GBR,1984,9.392521
United States,USA,1984,18.75396
Brazil,BRA,1985,1.330165
Canada,CAN,1985,16.37893
China,CHN,1985,1.814609
France,FRA,1985,7.284185
Germany,DEU,1985,13.439094
India,IND,1985,0.507509
Italy,ITA,1985,6.480548
Japan,JPN,1985,7.485892
Russia,RUS,1985,16.45023
South Korea,KOR,1985,4.374199
United Kingdom,GBR,1985,9.920021
United States,USA,1985,18.645897
Brazil,BRA,1986,1.428048
Canada,CAN,1986,15.518488
China,CHN,1986,1.87417
France,FRA,1986,6.975347
Germany,DEU,1986,13.4625
India,IND,1986,0.532217
Italy,ITA,1986,6.373512
Japan,JPN,1986,7.446491
Russia,RUS,1986,16.373085
South Korea,KOR,1986,4.426798
United Kingdom,GBR,1986,10.058822
United States,USA,1986,18.486572
Brazil,BRA,1987,1.460613
Canada,CAN,1987,16.302413
China,CHN,1987,1.963142
France,FRA,1987,6.800195
Germany,DEU,1987,13.233617
India,IND,1987,0.556184
Italy,ITA,1987,6.667472
Japan,JPN,1987,7.333313
Russia,RUS,1987,16.188814
South Korea,KOR,1987,4.628298
United Kingdom,GBR,1987,10.089811
United States,USA,1987,19.101314
Brazil,BRA,1988,1.445143
Canada,CAN,1988,16.996493
China,CHN,1988,2.063561
France,FRA,1988,6.675597
Germany,DEU,1988,13.140603
India,IND,1988,0.587832
Italy,ITA,1988,6.769143
Japan,JPN,1988,7.974002
Russia,RUS,1988,16.509676
South Korea,KOR,1988,5.282103
United Kingdom,GBR,1988,10.038105
United States,USA,1988,19.749974
Brazil,BRA,1989,1.449577
Canada,CAN,1989,17.028502
China,CHN,1989,2.060578
France,FRA,1989,6.966254
Germany,DEU,1989,12.82458
India,IND,1989,0.632842
Italy,ITA,1989,7.097138
Japan,JPN,1989,8.235475
Russia,RUS,1989,16.046345
South Korea,KOR,1989,5.559958
United Kingdom,GBR,1989,10.207767
United States,USA,1989,19.813801
Brazil,BRA,1990,1.388704
Canada,CAN,1990,16.779251
China,CHN,1990,2.056948
France,FRA,1990,7.076135
Germany,DEU,1990,13.311768
India,IND,1990,0.662661
Italy,ITA,1990,7.677899
Japan,JPN,1990,9.303974
Russia,RUS,1990,17.116922
South Korea,KOR,1990,5.765371
United Kingdom,GBR,1990,10.51002
United States,USA,1990,20.340713
Brazil,BRA,1991,1.432447
Canada,CAN,1991,16.224846
China,CHN,1991,2.127619
France,FRA,1991,7.493778
Germany,DEU,1991,12.758674
India,IND,1991,0.691265
Italy,ITA,1991,7.664283
Japan,JPN,1991,9.365771
Russia,RUS,1991,16.189478
South Korea,KOR,1991,6.041508
United Kingdom,GBR,1991,10.622596
United States,USA,1991,19.953286
Brazil,BRA,1992,1.415693
Canada,CAN,1992,16.547528
China,CHN,1992,2.198697
France,FRA,1992,7.274378
